epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,297.341,3.42375,0.50712,0.80342,2.69911,8.2906e-05,8.2906e-05,8.2906e-05
2,608.244,2.3943,0.77778,0.97436,1.03281,0.00015801,0.00015801,0.00015801
3,1034.53,1.41018,0.83476,0.99145,0.50627,0.000224865,0.000224865,0.000224865
4,1520.37,1.00922,0.88034,0.9886,0.36348,0.000212875,0.000212875,0.000212875
5,1971.35,0.8428,0.89174,0.99145,0.28933,0.0002005,0.0002005,0.0002005
